Region,Month of Period End,Median Sale Price,Median Sale Price MoM,Median Sale Price YoY,Homes Sold,Homes Sold MoM,Homes Sold YoY,New Listings,New Listings MoM,New Listings YoY,Inventory,Inventory MoM,Inventory YoY,Days on Market,Days on Market MoM,Days on Market YoY,Average Sale To List,Average Sale To List MoM,Average Sale To List YoY
30312,9/1/2017,"$283,000",-4.10%,7.90%,151,-3.80%,6.30%,140,-21.80%,-9.70%,77,-13.50%,-25.20%,29,5,-2,98.80%,0.20%,0.20%
30312,10/1/2017,"$295,000",4.40%,5.80%,138,-8.60%,-2.10%,144,2.90%,-2.70%,77,0.00%,-26.00%,37,8,6,98.60%,-0.10%,-0.20%
30312,11/1/2017,"$279,000",-5.50%,0.50%,108,-21.70%,-23.90%,137,-4.90%,23.40%,74,-3.90%,-14.00%,27,-10,-8,99.20%,0.50%,0.40%
30312,12/1/2017,"$320,000",14.70%,7.60%,109,0.90%,-21.60%,138,0.70%,40.80%,71,-4.10%,4.40%,19,-8,-19,98.70%,-0.50%,-1.50%
30312,1/1/2018,"$310,000",-3.20%,-3.80%,95,-12.80%,-10.40%,124,-10.10%,36.30%,77,8.50%,4.10%,16,-3,-24,98.10%,-0.60%,-2.30%
30312,2/1/2018,"$305,000",-1.60%,14.20%,103,8.40%,5.10%,126,1.60%,13.50%,70,-9.10%,-18.60%,20,4,-20,98.10%,0.00%,-2.80%
30312,3/1/2018,"$285,000",-6.60%,5.50%,110,6.80%,14.60%,140,11.10%,1.40%,69,-1.40%,-11.50%,20,0,-16,98.60%,0.50%,-0.90%
30312,4/1/2018,"$290,000",1.80%,8.10%,123,11.80%,7.90%,142,1.40%,-6.00%,66,-4.30%,-21.40%,17,-3,-16,99.60%,0.90%,-0.10%
30312,5/1/2018,"$305,000",5.20%,5.20%,129,4.90%,0.80%,155,9.20%,2.60%,80,21.20%,-5.90%,15,-2,-6,99.70%,0.10%,0.20%
30312,6/1/2018,"$349,000",14.40%,21.40%,132,2.30%,-2.20%,168,8.40%,-4.00%,84,5.00%,-16.80%,14,-1,-5,100.00%,0.30%,0.90%
30312,7/1/2018,"$350,000",0.10%,19.50%,154,16.70%,4.10%,186,10.70%,6.90%,83,-1.20%,-11.70%,16,2,-5,99.90%,-0.10%,0.90%
30312,8/1/2018,"$331,000",-5.40%,12.00%,182,18.20%,15.90%,186,0.00%,3.90%,94,13.30%,5.60%,16,-1,-9,100.20%,0.30%,1.60%
30312,9/1/2018,"$318,000",-3.80%,12.40%,166,-8.80%,9.90%,164,-11.80%,17.10%,92,-2.10%,19.50%,17,2,-12,99.60%,-0.60%,0.80%
30312,10/1/2018,"$315,000",-0.90%,6.70%,146,-12.00%,5.80%,153,-6.70%,6.30%,107,16.30%,39.00%,19,2,-18,99.10%,-0.50%,0.50%
30312,11/1/2018,"$338,000",7.10%,21.00%,100,-31.50%,-7.40%,130,-15.00%,-5.10%,108,0.90%,45.90%,21,2,-7,97.80%,-1.30%,-1.30%
30312,12/1/2018,"$345,000",2.20%,7.80%,96,-4.00%,-11.90%,111,-14.60%,-19.60%,93,-13.90%,31.00%,24,4,5,98.10%,0.30%,-0.50%
30312,1/1/2019,"$334,000",-3.20%,7.80%,87,-9.40%,-8.40%,100,-9.90%,-19.40%,93,0.00%,20.80%,36,12,20,97.90%,-0.20%,-0.20%
30312,2/1/2019,"$311,000",-7.00%,1.80%,90,3.40%,-12.60%,100,0.00%,-20.60%,93,0.00%,32.90%,39,3,19,97.90%,0.00%,-0.20%
30312,3/1/2019,"$307,000",-1.10%,7.70%,98,8.90%,-10.90%,130,30.00%,-7.10%,91,-2.20%,31.90%,43,4,23,97.70%,-0.20%,-0.90%
30312,4/1/2019,"$330,000",7.50%,13.80%,115,17.30%,-6.50%,150,15.40%,5.60%,102,12.10%,54.50%,24,-20,7,97.70%,0.00%,-1.90%
30312,5/1/2019,"$340,000",3.00%,11.40%,139,20.90%,7.80%,175,16.70%,12.90%,114,11.80%,42.50%,19,-5,4,97.70%,0.00%,-2.00%
30312,6/1/2019,"$340,000",0.00%,-2.60%,128,-7.90%,-3.00%,166,-5.10%,-1.20%,109,-4.40%,29.80%,16,-3,2,98.00%,0.30%,-2.00%
30312,7/1/2019,"$343,000",0.90%,-1.90%,133,3.90%,-13.60%,155,-6.60%,-16.70%,106,-2.80%,27.70%,20,4,4,98.10%,0.20%,-1.70%
30312,8/1/2019,"$340,000",-0.90%,2.90%,127,-4.50%,-30.20%,146,-5.80%,-21.50%,123,16.00%,30.90%,29,9,14,98.30%,0.10%,-1.90%
30312,9/1/2019,"$345,000",1.50%,8.50%,131,3.10%,-21.10%,158,8.20%,-3.70%,133,8.10%,44.60%,35,6,18,98.30%,0.00%,-1.30%
30312,10/1/2019,"$332,000",-3.90%,5.20%,120,-8.40%,-17.80%,161,1.90%,5.20%,144,8.30%,34.60%,35,0,17,98.50%,0.20%,-0.60%
30312,11/1/2019,"$340,000",2.60%,0.70%,97,-19.20%,-3.00%,134,-16.80%,3.10%,122,-15.30%,13.00%,33,-2,13,98.70%,0.20%,0.90%
30312,12/1/2019,"$340,000",0.00%,-1.40%,104,7.20%,8.30%,102,-23.90%,-8.10%,99,-18.90%,6.50%,46,13,22,98.40%,-0.40%,0.20%
30312,1/1/2020,"$363,000",6.60%,8.50%,86,-17.30%,-1.10%,99,-2.90%,-1.00%,99,0.00%,6.50%,47,2,11,97.90%,-0.40%,0.00%
30312,2/1/2020,"$346,000",-4.60%,11.40%,96,11.60%,6.70%,101,2.00%,1.00%,89,-10.10%,-4.30%,52,5,13,97.90%,0.00%,0.00%
30312,3/1/2020,"$332,000",-4.10%,8.10%,100,4.20%,2.00%,139,37.60%,6.90%,114,28.10%,25.30%,52,-1,9,97.90%,0.00%,0.20%
30312,4/1/2020,"$327,000",-1.40%,-0.80%,102,2.00%,-11.30%,141,1.40%,-6.00%,123,7.90%,20.60%,52,0,28,98.20%,0.30%,0.50%
30312,5/1/2020,"$335,000",2.30%,-1.40%,107,4.90%,-23.00%,149,5.70%,-14.90%,112,-8.90%,-1.80%,32,-20,14,98.40%,0.20%,0.70%
30312,6/1/2020,"$349,000",4.20%,2.70%,103,-3.70%,-19.50%,157,5.40%,-5.40%,111,-0.90%,1.80%,34,2,18,98.80%,0.40%,0.80%
30312,7/1/2020,"$353,000",1.10%,2.90%,140,35.90%,5.30%,176,12.10%,13.50%,130,17.10%,22.60%,28,-6,8,99.10%,0.20%,0.90%
30312,8/1/2020,"$360,000",2.00%,5.90%,150,7.10%,18.10%,201,14.20%,37.70%,140,7.70%,13.80%,26,-3,-4,99.10%,0.00%,0.80%
30312,9/1/2020,"$390,000",8.30%,13.00%,150,0.00%,14.50%,200,-0.50%,26.60%,144,2.90%,8.30%,18,-8,-17,99.10%,0.00%,0.80%
30312,10/1/2020,"$423,000",8.30%,27.50%,129,-14.00%,7.50%,201,0.50%,24.80%,157,9.00%,9.00%,27,9,-8,99.00%,0.00%,0.50%
30312,11/1/2020,"$395,000",-6.50%,16.20%,121,-6.20%,24.70%,176,-12.40%,31.30%,132,-15.90%,8.20%,33,6,0,98.80%,-0.20%,0.10%
30312,12/1/2020,"$400,000",1.30%,17.60%,145,19.80%,39.40%,145,-17.60%,42.20%,110,-16.70%,11.10%,37,4,-9,98.70%,-0.10%,0.30%
30312,1/1/2021,"$388,000",-3.10%,6.90%,138,-4.80%,60.50%,116,-20.00%,17.20%,105,-4.50%,6.10%,34,-4,-14,98.70%,0.00%,0.80%
30312,2/1/2021,"$382,000",-1.50%,10.30%,136,-1.40%,41.70%,123,6.00%,21.80%,89,-15.20%,0.00%,39,6,-13,99.20%,0.40%,1.20%
30312,3/1/2021,"$390,000",2.20%,17.50%,133,-2.20%,33.00%,146,18.70%,5.00%,81,-9.00%,-28.90%,31,-8,-21,99.70%,0.60%,1.80%
30312,4/1/2021,"$375,000",-3.80%,14.50%,151,13.50%,48.00%,184,26.00%,30.50%,95,17.30%,-22.80%,21,-10,-31,99.90%,0.20%,1.70%
30312,5/1/2021,"$391,000",4.30%,16.70%,169,11.90%,57.90%,183,-0.50%,22.80%,72,-24.20%,-35.70%,14,-7,-18,100.10%,0.20%,1.70%
30312,6/1/2021,"$401,000",2.50%,14.90%,172,1.80%,67.00%,201,9.80%,28.00%,97,34.70%,-12.60%,15,1,-19,100.20%,0.10%,1.40%
30312,7/1/2021,"$420,000",4.80%,19.00%,177,2.90%,26.40%,193,-4.00%,9.70%,124,27.80%,-4.60%,16,1,-12,99.90%,-0.30%,0.80%
30312,8/1/2021,"$434,000",3.30%,20.60%,162,-8.50%,8.00%,206,6.70%,2.50%,111,-10.50%,-20.70%,19,3,-7,99.90%,0.00%,0.90%
30312,9/1/2021,"$400,000",-7.80%,2.60%,161,-0.60%,7.30%,190,-7.80%,-5.00%,102,-8.10%,-29.20%,20,1,2,99.80%,-0.10%,0.80%
30312,10/1/2021,"$418,000",4.60%,-1.00%,152,-5.60%,17.80%,163,-14.20%,-18.90%,94,-7.80%,-40.10%,24,4,-4,99.80%,0.00%,0.80%
30312,11/1/2021,"$421,000",0.60%,6.50%,159,4.60%,31.40%,140,-14.10%,-20.50%,88,-6.40%,-33.30%,25,2,-8,99.70%,-0.10%,0.90%
30312,12/1/2021,"$407,000",-3.20%,1.90%,138,-13.20%,-4.80%,99,-29.30%,-31.70%,71,-19.30%,-35.50%,29,4,-8,100.60%,0.90%,1.90%
30312,1/1/2022,"$406,000",-0.40%,4.80%,123,-10.90%,-10.90%,91,-8.10%,-21.60%,51,-28.20%,-51.40%,34,5,1,100.90%,0.30%,2.10%
30312,2/1/2022,"$407,000",0.20%,6.70%,118,-4.10%,-13.20%,94,3.30%,-23.60%,45,-11.80%,-49.40%,39,5,0,100.90%,0.00%,1.70%
30312,3/1/2022,"$435,000",6.90%,11.50%,125,5.90%,-6.00%,126,34.00%,-13.70%,42,-6.70%,-48.10%,30,-10,-2,100.50%,-0.30%,0.80%
30312,4/1/2022,"$443,000",1.70%,18.00%,141,12.80%,-6.60%,140,11.10%,-23.90%,45,7.10%,-52.60%,20,-10,-2,101.60%,1.10%,1.70%
30312,5/1/2022,"$475,000",7.30%,21.50%,139,-1.40%,-17.80%,155,10.70%,-15.30%,62,37.80%,-13.90%,14,-6,0,102.80%,1.20%,2.70%
30312,6/1/2022,"$459,000",-3.40%,14.40%,127,-8.60%,-26.20%,155,0.00%,-22.90%,74,19.40%,-23.70%,12,-2,-3,102.40%,-0.40%,2.20%
30312,7/1/2022,"$475,000",3.60%,13.10%,109,-14.20%,-38.40%,156,0.60%,-19.20%,86,16.20%,-30.60%,14,2,-2,101.70%,-0.80%,1.80%
30312,8/1/2022,"$451,000",-5.10%,3.90%,102,-6.40%,-37.00%,144,-7.70%,-30.10%,80,-7.00%,-27.90%,18,4,-1,100.20%,-1.50%,0.30%
30312,9/1/2022,"$485,000",7.60%,21.30%,99,-2.90%,-38.50%,129,-10.40%,-32.10%,77,-3.80%,-24.50%,23,5,3,100.00%,-0.20%,0.10%
30319,2/1/2012,"$313,000",17.90%,2.50%,124,-22.00%,-8.10%,214,12.60%,8.60%,339,-0.90%,-22.60%,90,-4,-74,93.70%,0.50%,2.60%
30319,3/1/2012,"$328,000",5.00%,-0.50%,142,14.50%,-0.70%,257,20.10%,-4.80%,330,-2.70%,-27.60%,78,-12,-73,94.80%,1.10%,1.10%
30319,4/1/2012,"$329,000",0.20%,5.40%,169,19.00%,-0.60%,273,6.20%,-13.30%,332,0.60%,-31.80%,84,6,-79,95.50%,0.70%,1.70%
30319,5/1/2012,"$313,000",-5.00%,-2.30%,221,30.80%,13.30%,292,7.00%,-12.30%,340,2.40%,-31.70%,82,-2,-87,96.00%,0.50%,2.40%
30319,6/1/2012,"$289,000",-7.50%,-16.20%,231,4.50%,14.90%,274,-6.20%,-10.20%,304,-10.60%,-33.30%,86,4,-67,95.80%,-0.30%,1.70%
30319,7/1/2012,"$298,000",3.10%,-9.70%,241,4.30%,29.60%,263,-4.00%,-3.30%,297,-2.30%,-30.90%,69,-17,-58,96.00%,0.30%,1.80%
30319,8/1/2012,"$308,000",3.30%,-5.30%,233,-3.30%,23.90%,250,-4.90%,2.00%,286,-3.70%,-28.50%,65,-5,-32,96.10%,0.00%,2.20%
30319,9/1/2012,"$310,000",0.70%,-4.60%,207,-11.20%,14.40%,238,-4.80%,0.80%,284,-0.70%,-28.10%,63,-2,-34,96.30%,0.20%,2.50%
30319,10/1/2012,"$310,000",0.00%,-3.90%,200,-3.40%,13.00%,241,1.30%,3.00%,283,-0.40%,-24.70%,65,2,-30,95.90%,-0.40%,1.90%
30319,11/1/2012,"$306,000",-1.20%,1.40%,190,-5.00%,5.00%,209,-13.30%,-1.90%,264,-6.70%,-27.10%,64,-1,-40,95.70%,-0.10%,1.70%
30319,12/1/2012,"$320,000",4.50%,13.10%,188,-1.10%,11.90%,189,-9.60%,-1.00%,247,-6.40%,-24.90%,63,-1,-31,95.80%,0.00%,2.00%
30319,1/1/2013,"$335,000",4.80%,26.50%,166,-11.70%,4.40%,191,1.10%,0.50%,256,3.60%,-25.10%,85,22,-8,95.60%,-0.20%,2.40%
30319,2/1/2013,"$330,000",-1.60%,5.60%,163,-1.80%,31.50%,221,15.70%,3.30%,249,-2.70%,-26.50%,89,4,-1,95.70%,0.10%,2.00%
30319,3/1/2013,"$340,000",3.00%,3.60%,194,19.00%,36.60%,295,33.50%,14.80%,270,8.40%,-18.20%,60,-30,-19,95.60%,0.00%,0.80%
30319,4/1/2013,"$340,000",0.00%,3.30%,222,14.40%,31.40%,331,12.20%,21.20%,260,-3.70%,-21.70%,45,-15,-39,96.10%,0.50%,0.60%
30319,5/1/2013,"$361,000",6.20%,15.50%,284,27.90%,28.50%,372,12.40%,27.40%,275,5.80%,-19.10%,36,-10,-47,96.70%,0.50%,0.60%
30319,6/1/2013,"$372,000",2.90%,28.50%,304,7.00%,31.60%,351,-5.60%,28.10%,260,-5.50%,-14.50%,36,0,-51,97.10%,0.50%,1.40%
30319,7/1/2013,"$384,000",3.40%,28.90%,336,10.50%,39.40%,346,-1.40%,31.60%,274,5.40%,-7.70%,39,4,-30,97.30%,0.20%,1.30%
30319,8/1/2013,"$367,000",-4.40%,19.20%,308,-8.30%,32.20%,326,-5.80%,30.40%,261,-4.70%,-8.70%,38,-1,-27,97.30%,-0.10%,1.20%
30319,9/1/2013,"$355,000",-3.40%,14.40%,287,-6.80%,38.60%,313,-4.00%,31.50%,256,-1.90%,-9.90%,40,2,-23,97.50%,0.20%,1.20%
30319,10/1/2013,"$360,000",1.60%,16.10%,260,-9.40%,30.00%,306,-2.20%,27.00%,264,3.10%,-6.70%,43,3,-22,97.40%,-0.10%,1.50%
30319,11/1/2013,"$377,000",4.80%,23.20%,241,-7.30%,26.80%,268,-12.40%,28.20%,241,-8.70%,-8.70%,51,8,-13,97.40%,0.00%,1.70%
30319,12/1/2013,"$387,000",2.40%,20.80%,244,1.20%,29.80%,234,-12.70%,23.80%,206,-14.50%,-16.60%,49,-2,-14,97.10%,-0.30%,1.30%
30319,1/1/2014,"$390,000",0.90%,16.30%,207,-15.20%,24.70%,221,-5.60%,15.70%,225,9.20%,-12.10%,46,-3,-39,97.10%,0.00%,1.50%
30319,2/1/2014,"$393,000",0.60%,18.90%,206,-0.50%,26.40%,273,23.50%,23.50%,255,13.30%,2.40%,43,-4,-47,97.30%,0.20%,1.60%
30319,3/1/2014,"$390,000",-0.80%,14.60%,198,-3.90%,2.10%,347,27.10%,17.60%,294,15.30%,8.90%,37,-6,-23,97.90%,0.60%,2.30%
30319,4/1/2014,"$381,000",-2.20%,12.10%,229,15.70%,3.20%,386,11.20%,16.60%,305,3.70%,17.30%,37,0,-8,98.40%,0.40%,2.20%
30319,5/1/2014,"$395,000",3.70%,9.40%,247,7.90%,-13.00%,412,6.70%,10.80%,310,1.60%,12.70%,36,-1,1,98.20%,-0.20%,1.50%
30319,6/1/2014,"$400,000",1.30%,7.70%,294,19.00%,-3.30%,415,0.70%,18.20%,311,0.30%,19.60%,33,-3,-3,97.90%,-0.30%,0.80%
30319,7/1/2014,"$400,000",0.00%,4.20%,348,18.40%,3.60%,385,-7.20%,11.30%,320,2.90%,16.80%,32,-1,-7,97.60%,-0.40%,0.20%
30319,8/1/2014,"$400,000",0.00%,9.00%,342,-1.70%,11.00%,368,-4.40%,12.90%,352,10.00%,34.90%,32,0,-6,97.70%,0.10%,0.40%
30319,9/1/2014,"$405,000",1.30%,14.20%,294,-14.00%,2.40%,334,-9.20%,6.70%,342,-2.80%,33.60%,33,1,-7,97.50%,-0.20%,0.00%
30319,10/1/2014,"$415,000",2.50%,15.30%,268,-8.80%,3.10%,343,2.70%,12.10%,344,0.60%,30.30%,36,3,-7,97.70%,0.20%,0.30%
30319,11/1/2014,"$406,000",-2.30%,7.40%,254,-5.20%,5.40%,279,-18.70%,4.10%,315,-8.40%,30.70%,49,13,-2,97.10%,-0.60%,-0.40%
30319,12/1/2014,"$407,000",0.30%,5.20%,264,3.90%,8.20%,237,-15.10%,1.30%,315,0.00%,52.90%,47,-2,-2,97.20%,0.10%,0.10%
30319,1/1/2015,"$408,000",0.20%,4.50%,211,-20.10%,1.90%,217,-8.40%,-1.80%,312,-1.00%,38.70%,66,19,20,96.80%,-0.30%,-0.30%
30319,2/1/2015,"$377,000",-7.60%,-4.10%,205,-2.80%,-0.50%,259,19.40%,-5.10%,314,0.60%,23.10%,68,2,26,97.90%,1.00%,0.60%
30319,3/1/2015,"$371,000",-1.40%,-4.70%,232,13.20%,17.20%,349,34.70%,0.60%,317,1.00%,7.80%,68,0,31,97.90%,0.10%,0.00%
30319,4/1/2015,"$375,000",1.00%,-1.60%,297,28.00%,29.70%,390,11.70%,1.00%,297,-6.30%,-2.60%,52,-16,15,98.00%,0.10%,-0.40%
30319,5/1/2015,"$390,000",4.00%,-1.30%,373,25.60%,51.00%,423,8.50%,2.70%,320,7.70%,3.20%,40,-12,4,97.80%,-0.20%,-0.40%
30319,6/1/2015,"$406,000",4.10%,1.50%,364,-2.40%,23.80%,393,-7.10%,-5.30%,319,-0.30%,2.60%,38,-3,5,97.80%,0.00%,-0.10%
30319,7/1/2015,"$440,000",8.30%,10.00%,349,-4.10%,0.30%,379,-3.60%,-1.60%,329,3.10%,2.80%,39,2,7,97.80%,0.00%,0.20%
30319,8/1/2015,"$450,000",2.30%,12.50%,282,-19.20%,-17.50%,331,-12.70%,-10.10%,322,-2.10%,-8.50%,45,6,13,97.60%,-0.20%,-0.10%
30319,9/1/2015,"$435,000",-3.30%,7.40%,268,-5.00%,-8.80%,306,-7.60%,-8.40%,312,-3.10%,-8.80%,46,1,13,98.00%,0.40%,0.50%
30319,10/1/2015,"$400,000",-8.10%,-3.60%,243,-9.30%,-9.30%,268,-12.40%,-21.90%,289,-7.40%,-16.00%,46,-1,10,98.10%,0.10%,0.40%
30319,11/1/2015,"$385,000",-3.70%,-5.00%,236,-2.90%,-7.10%,235,-12.30%,-15.80%,259,-10.40%,-17.80%,43,-3,-6,98.20%,0.10%,1.10%
30319,12/1/2015,"$401,000",4.10%,-1.40%,229,-3.00%,-13.30%,197,-16.20%,-16.90%,237,-8.50%,-24.80%,64,21,17,97.00%,-1.20%,-0.20%
30319,1/1/2016,"$408,000",1.70%,0.10%,196,-14.40%,-7.10%,205,4.10%,-5.50%,252,6.30%,-19.20%,70,6,4,96.80%,-0.20%,0.00%
30319,2/1/2016,"$428,000",4.90%,13.70%,173,-11.70%,-15.60%,243,18.50%,-6.20%,258,2.40%,-17.80%,69,-1,1,96.80%,-0.10%,-1.10%
30319,3/1/2016,"$428,000",0.00%,15.30%,175,1.20%,-24.60%,352,44.90%,0.90%,319,23.60%,0.60%,53,-17,-16,98.00%,1.30%,0.10%
30319,4/1/2016,"$453,000",5.70%,20.70%,232,32.60%,-21.90%,421,19.60%,7.90%,356,11.60%,19.90%,41,-12,-11,98.50%,0.50%,0.50%
30319,5/1/2016,"$460,000",1.70%,17.90%,299,28.90%,-19.80%,451,7.10%,6.60%,363,2.00%,13.40%,39,-2,-1,98.30%,-0.20%,0.40%
30319,6/1/2016,"$455,000",-1.10%,12.10%,335,12.00%,-8.00%,433,-4.00%,10.20%,365,0.60%,14.40%,39,0,2,98.40%,0.10%,0.60%
30319,7/1/2016,"$449,000",-1.30%,2.10%,335,0.00%,-4.00%,381,-12.00%,0.50%,361,-1.10%,9.70%,41,2,2,98.30%,-0.10%,0.50%
30319,8/1/2016,"$444,000",-1.20%,-1.40%,328,-2.10%,16.30%,354,-7.10%,6.90%,332,-8.00%,3.10%,44,3,-1,98.20%,-0.10%,0.60%
30319,9/1/2016,"$443,000",-0.30%,1.70%,301,-8.20%,12.30%,313,-11.60%,2.30%,330,-0.60%,5.80%,52,8,6,97.70%,-0.50%,-0.20%
30319,10/1/2016,"$456,000",3.10%,14.00%,277,-8.00%,14.00%,315,0.60%,17.50%,361,9.40%,24.90%,49,-3,4,97.20%,-0.50%,-0.80%
30319,11/1/2016,"$450,000",-1.30%,16.80%,241,-13.00%,2.10%,294,-6.70%,25.10%,334,-7.50%,29.00%,48,-1,5,97.10%,-0.10%,-1.00%
30319,12/1/2016,"$440,000",-2.20%,9.70%,235,-2.50%,2.60%,256,-12.90%,29.90%,286,-14.40%,20.70%,48,0,-16,97.20%,0.10%,0.20%
30319,1/1/2017,"$433,000",-1.70%,6.00%,218,-7.20%,11.20%,235,-8.20%,14.60%,287,0.30%,13.90%,53,5,-17,97.40%,0.10%,0.50%
30319,2/1/2017,"$450,000",4.00%,5.10%,203,-6.90%,17.30%,269,14.50%,10.70%,325,13.20%,26.00%,61,8,-8,97.50%,0.20%,0.80%
30319,3/1/2017,"$465,000",3.30%,8.60%,207,2.00%,18.30%,352,30.90%,0.00%,360,10.80%,12.90%,54,-7,2,98.20%,0.70%,0.10%
30319,4/1/2017,"$452,000",-2.80%,-0.10%,236,14.00%,1.70%,371,5.40%,-11.90%,325,-9.70%,-8.70%,49,-6,8,98.40%,0.20%,-0.10%
30319,5/1/2017,"$459,000",1.60%,-0.10%,287,21.60%,-4.00%,382,3.00%,-15.30%,329,1.20%,-9.40%,45,-4,6,98.40%,-0.10%,0.10%
30319,6/1/2017,"$444,000",-3.30%,-2.40%,308,7.30%,-8.10%,348,-8.90%,-19.60%,319,-3.00%,-12.60%,43,-2,4,98.10%,-0.20%,-0.30%
30319,7/1/2017,"$480,000",8.10%,6.90%,309,0.30%,-7.80%,340,-2.30%,-10.80%,332,4.10%,-8.00%,44,1,3,98.10%,0.00%,-0.20%
30319,8/1/2017,"$484,000",0.80%,9.00%,288,-6.80%,-12.20%,348,2.40%,-1.70%,357,7.50%,7.50%,44,-1,-1,98.20%,0.10%,0.00%
30319,9/1/2017,"$495,000",2.30%,11.90%,243,-15.60%,-19.30%,330,-5.20%,5.40%,349,-2.20%,5.80%,44,1,-8,97.90%,-0.30%,0.20%
30319,10/1/2017,"$478,000",-3.50%,4.70%,230,-5.30%,-17.00%,305,-7.60%,-3.20%,320,-8.30%,-11.40%,43,-2,-7,98.00%,0.10%,0.80%
30319,11/1/2017,"$474,000",-0.80%,5.20%,218,-5.20%,-9.50%,247,-19.00%,-16.00%,285,-10.90%,-14.70%,45,3,-3,97.70%,-0.30%,0.60%
30319,12/1/2017,"$448,000",-5.40%,1.80%,220,0.90%,-6.40%,181,-26.70%,-29.30%,235,-17.50%,-17.80%,47,2,-1,97.70%,-0.10%,0.40%
30319,1/1/2018,"$472,000",5.40%,9.10%,202,-8.20%,-7.30%,192,6.10%,-18.30%,233,-0.90%,-18.80%,55,8,2,97.20%,-0.50%,-0.20%
30319,2/1/2018,"$485,000",2.80%,7.80%,189,-6.40%,-6.90%,249,29.70%,-7.40%,263,12.90%,-19.10%,74,19,13,97.40%,0.20%,-0.10%
30319,3/1/2018,"$501,000",3.30%,7.80%,215,13.80%,3.90%,350,40.60%,-0.60%,276,4.90%,-23.30%,34,-40,-20,98.30%,0.90%,0.10%
30319,4/1/2018,"$497,000",-0.80%,10.00%,242,12.60%,2.50%,374,6.90%,0.80%,293,6.20%,-9.80%,24,-10,-25,98.60%,0.30%,0.20%
30319,5/1/2018,"$500,000",0.50%,8.80%,279,15.30%,-2.80%,360,-3.70%,-5.80%,271,-7.50%,-17.60%,21,-3,-24,98.60%,0.00%,0.20%
30319,6/1/2018,"$523,000",4.60%,17.70%,300,7.50%,-2.60%,338,-6.10%,-2.90%,273,0.70%,-14.40%,29,8,-14,98.10%,-0.50%,0.00%
30319,7/1/2018,"$525,000",0.50%,9.40%,319,6.30%,3.20%,321,-5.00%,-5.60%,255,-6.60%,-23.20%,34,5,-10,98.10%,0.00%,0.00%
30319,8/1/2018,"$523,000",-0.30%,8.10%,310,-2.80%,7.60%,315,-1.90%,-9.50%,269,5.50%,-24.60%,31,-3,-13,98.10%,0.10%,0.00%
30319,9/1/2018,"$525,000",0.30%,6.10%,271,-12.60%,11.50%,326,3.50%,-1.20%,300,11.50%,-14.00%,29,-2,-15,98.00%,-0.20%,0.00%
30319,10/1/2018,"$511,000",-2.70%,6.90%,238,-12.20%,3.50%,326,0.00%,6.90%,307,2.30%,-4.10%,30,1,-13,97.80%,-0.10%,-0.20%
30319,11/1/2018,"$507,000",-0.60%,7.20%,218,-8.40%,0.00%,284,-12.90%,15.00%,298,-2.90%,4.60%,40,11,-5,97.50%,-0.30%,-0.20%
30319,12/1/2018,"$497,000",-2.00%,11.00%,210,-3.70%,-4.50%,222,-21.80%,22.70%,265,-11.10%,12.80%,45,5,-2,97.20%,-0.30%,-0.50%
30319,1/1/2019,"$480,000",-3.50%,1.70%,187,-11.00%,-7.40%,238,7.20%,24.00%,286,7.90%,22.70%,49,4,-6,96.80%,-0.40%,-0.40%
30319,2/1/2019,"$473,000",-1.60%,-2.60%,170,-9.10%,-10.10%,292,22.70%,17.30%,305,6.60%,16.00%,59,10,-15,96.80%,0.00%,-0.60%
30319,3/1/2019,"$500,000",5.80%,-0.20%,171,0.60%,-20.50%,372,27.40%,6.30%,324,6.20%,17.40%,48,-12,14,97.00%,0.20%,-1.30%
30319,4/1/2019,"$535,000",7.00%,7.60%,225,31.60%,-7.00%,393,5.60%,5.10%,324,0.00%,10.60%,38,-10,14,97.50%,0.60%,-1.10%
30319,5/1/2019,"$538,000",0.50%,7.60%,288,28.00%,3.20%,405,3.10%,12.50%,341,5.20%,25.80%,28,-10,7,97.60%,0.10%,-0.90%
30319,6/1/2019,"$541,000",0.70%,3.60%,307,6.60%,2.30%,378,-6.70%,11.80%,318,-6.70%,16.50%,29,1,0,97.80%,0.20%,-0.30%
30319,7/1/2019,"$550,000",1.60%,4.80%,304,-1.00%,-4.70%,342,-9.50%,6.50%,301,-5.30%,18.00%,32,3,-2,97.80%,0.00%,-0.30%
30319,8/1/2019,"$553,000",0.50%,5.60%,279,-8.20%,-10.00%,326,-4.70%,3.50%,325,8.00%,20.80%,43,11,12,97.90%,0.10%,-0.30%
30319,9/1/2019,"$550,000",-0.50%,4.80%,258,-7.50%,-4.80%,312,-4.30%,-4.30%,312,-4.00%,4.00%,47,5,18,98.10%,0.30%,0.20%
30319,10/1/2019,"$550,000",0.00%,7.70%,235,-8.90%,-1.30%,314,0.60%,-3.70%,301,-3.50%,-2.00%,47,0,18,98.10%,0.00%,0.30%
30319,11/1/2019,"$549,000",-0.30%,8.10%,224,-4.70%,2.80%,273,-13.10%,-3.90%,301,0.00%,1.00%,52,5,12,98.10%,0.00%,0.60%
30319,12/1/2019,"$555,000",1.10%,11.50%,230,2.70%,9.50%,220,-19.40%,-0.90%,262,-13.00%,-1.10%,53,1,8,98.00%,-0.10%,0.80%
